İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Price,Listing URL,Ağır Hasarlı
Kopyalandı23146477,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,154.035 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,550.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-2016-dacia-sandero-1-5-dci-acil-satilik-taksi-cikmasidir/23146477,
Kopyalandı26427021,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,72.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,747.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/bfb-den-2017-sandero-stepway-1-5dci-otomatik-72-binde-degisensiz/26427021,
Kopyalandı26425780,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,165.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Galeriden,649.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/125-bin-pesin-kalan-36-ay-taksit-imkani-dacia-sandero/26425780,
Kopyalandı26557787,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,157.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 değişen,Takasa Uygun,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2016-model-bolu/26557787,
Kopyalandı26550530,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,269.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 boyalı,Takasa Uygun,Sahibinden,605.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/2017-cikisli-otomatik-temiz-sandero-stepway/26550530,
Kopyalandı26546197,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,180.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,570.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26546197,
Kopyalandı26553183,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,125.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-yeni-kasa-orjinal-tramersiz-stepway-1-5-dci/26553183,
Kopyalandı26551760,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,57.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,700.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/36ay-kredili-dacia-sandero-1-5-dci-stepway-2017-model-balikesir/26551760,
Kopyalandı26551424,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2011,199.700 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,485.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2011-model/26551424,
Kopyalandı26542379,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,170.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,555.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26542379,
Kopyalandı26549947,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,141.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 4 boyalı",-,Sahibinden,595.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model-bursa-143000/26549947,
Kopyalandı25388683,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,138.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,602.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-model-sandero-stepway-138-000-km-hatasiz-ayarinda-degisensiz-tramersiz-sok-taksiz/25388683,
Kopyalandı25374142,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,217.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,600.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-yozgat/25374142,
Kopyalandı26418077,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,159.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,609.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-stepway-1-5-dci-kayitsiz-tramersiz-bakimli-masrafsiz/26418077,
Kopyalandı26546656,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,114.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun Değil,Galeriden,645.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ilk-elden-degisensiz-stepway/26546656,
Kopyalandı26542577,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,210.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26542577,
Kopyalandı26536403,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,168.400 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,4 boyalı,,Sahibinden,535.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26536403,
Kopyalandı26535872,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,49.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,800.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26535872,
Kopyalandı26530905,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,183.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26530905,
Kopyalandı26529753,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,145.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,,Sahibinden,525.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26529753,
Kopyalandı26529717,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,106.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,850.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26529717,
Kopyalandı26529389,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,85.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun,Sahibinden,665.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26529389,
Kopyalandı26539605,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,98.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,749.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-dacia-sandero-senetle-taksitlendirme-secenegimiz-vardir/26539605,
Kopyalandı26539578,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,94.000 km,Otomatik,Dizel,Hatchback/5,Lacivert,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,789.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-dacia-sandero-senetle-taksitlendirme-secenegimiz-vardir/26539578,
Kopyalandı26405266,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,50.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,778.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-model-hatasiz-boyasiz-stepway-sadece-50-000-km-de/26405266,
Kopyalandı26412451,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,101.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,1 boyalı,Takasa Uygun,Galeriden,690.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/kazasiz-degisensiz-tramersiz-2016-model-dacia-sandero-stepway-1-5-dci/26412451,
Kopyalandı26536593,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,117.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/er-motor-s-dacia-sandero-1-5-dci-stepway-easy-r-hatasiz-boyasiz/26536593,
Kopyalandı26527290,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,261.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,685.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26527290,
Kopyalandı26409066,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,137.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,549.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/165bin-tl-pesin-36ay-vade-imkaniyla-dacia-sandero-stepway/26409066,
Kopyalandı26526494,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,150.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26526494,
Kopyalandı26531748,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,61.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,679.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/denizli-opel-bayiinden-hatasiz-sandero-1-5-dci-stepway-61-000-km/26531748,
Kopyalandı26524006,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,192.100 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,2 boyalı,,Sahibinden,550.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26524006,
Kopyalandı26523848,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,147.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"1 değişen, 2 boyalı",,Sahibinden,635.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26523848,
Kopyalandı26523835,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,130.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,670.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26523835,
Kopyalandı26523363,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,126.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,715.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26523363,
Kopyalandı26528605,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,249.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,499.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/pasa-auto-dacia-sandero-stepway-kaput-tavan-boyasiz-k-k-taksit/26528605,
Kopyalandı26517334,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,35.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,,Sahibinden,800.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model-izmir/26517334,
Kopyalandı25339170,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,235.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,525.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2012-model-antalya/25339170,
Kopyalandı26398322,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,78.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ilk-elden-2016-dacia-stepway-dizel-otomatik-78-000-km/26398322,
Kopyalandı26416465,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,158.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,669.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/emr-group-tan-dizel-otomatik-dacia-sandero/26416465,
Kopyalandı26517083,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,94.000 km,Otomatik,Dizel,Hatchback/5,Bordo,,,,İkinci El,,,Belirtilmemiş,,Sahibinden,850.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26517083,
Kopyalandı26516257,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,279.500 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,550.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26516257,
Kopyalandı26399969,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,181.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,529.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-model-dacia-sandero-stepway-1-5-dci-95-hp/26399969,
Kopyalandı18551838,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,290.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun Değil,Galeriden,579.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/zedcar-dan-agir-bakimlari-yapilmis-al-gez/18551838,
Kopyalandı26513844,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,96.200 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,670.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26513844,
Kopyalandı26513667,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,152.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 boyalı,,Sahibinden,668.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26513667,
Kopyalandı26519277,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,217.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,540.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26519277,
Kopyalandı25975664,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,122.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 değişen,Takasa Uygun,Sahibinden,599.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/25975664,
Kopyalandı24457861,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,228.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,675.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-stapway-2018-model-1-5-dci-90-beygir-easy-cok-temiz-bakimli/24457861,
Kopyalandı24418689,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,95.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,745.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-kayitsiz-boncuk/24418689,
Kopyalandı23026108,22 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,150.000 km,Yarı Otomatik,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,735.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/23026108,
Kopyalandı26509440,22 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,156.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,Takasa Uygun,Galeriden,608.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-dacia-stepway-1-5-dci-hatasiz-aksesuarli-156-000-km/26509440,
Kopyalandı26376851,22 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,75.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,750.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/otomatik-vites-degisensiz-dacia-sandero-stepway-1-5-dizel/26376851,
Kopyalandı26502075,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,140.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,600.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model-0538-203-4058-gereken-bilgi-verilir/26502075,
Kopyalandı26500191,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,92.000 km,Düz,Dizel,Hatchback/5,Kahverengi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,-,Sahibinden,665.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26500191,
Kopyalandı26495934,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,87.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,755.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/temiz-aile-araci/26495934,
Kopyalandı25605679,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,255.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,Takasa Uygun,Sahibinden,530.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/25605679,
Kopyalandı26491104,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,104.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 değişen,,Sahibinden,685.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26491104,
Kopyalandı26501224,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,17.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,830.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-model-boyasiz-emsalsiz-stepway-1-5-dci-tr-tek-17-000-km-de/26501224,
Kopyalandı26501220,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,198.900 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Galeriden,595.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dostagider-2015-stepway-hatasiz-198-bin-km-lansman-renk/26501220,
Kopyalandı26486328,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,145.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,655.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26486328,
Kopyalandı26485765,21 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2020,80.000 km,Düz,Dizel,Hatchback/5,Beyaz,,,,İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,610.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2020-model/26485765,
