İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Fiyat,URL,Ağır Hasarlı
26452648,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,62.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,695.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/zerde-garage-dacia-sandero-stepway-1-5-dizel-62-000-km-boyasiz/26452648,
26450087,30 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,137.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,679.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeri-52-den-2016-model-dacia-stepway-hatasiz-boyasiz-1-5-dci/26450087,
26583750,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,164.000 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,3 boyalı,Takasa Uygun,Galeriden,560.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2013-stepway-degisensiz-2-5-parca-boyali/26583750,
26029646,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,166.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,645.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/dacia-sandero-1-5-dci-stepway-hatasiz-boyasiz-ful-bakimli2017-model-hatay/26029646,
23758859,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,101.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,657.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/tertemiz-stepway/23758859,
26570838,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,106.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,,Sahibinden,675.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26570838,
26569181,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,311.548 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,480.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26569181,
26449039,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,52.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,775.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-mersin/26449039,
23333765,29 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,80.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,765.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2017-model-konya/23333765,
23505181,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,30.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,760.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/agirlar-anil-otomotiv-den-2016-dacia-sandero-stepway/23505181,
26566167,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,325.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,480.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26566167,
26570991,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,64.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,760.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-boyasiz-1-5-dci-stepway-2017-model-mersin/26570991,
26434937,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,132.500 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 boyalı,Takasa Uygun,Galeriden,665.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/sandero-stepway-degisen-yok-ilk-elden/26434937,
26434668,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,115.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,649.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/hatasiz-boyasiz-2015-dacia-stepway-1-5-dci-115-bin-km-ekstrali/26434668,
25901406,28 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,204.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 değişen,Takasa Uygun,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/aynacilar-otomotiv-dendacia-sandero-1-5-dci-stepway-2015-model/25901406,
26524623,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,263.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,445.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2014-model-afyonkarahisar/26524623,
26564480,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,107.650 km,Düz,Dizel,Hatchback/5,Gri,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,4 boyalı,,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26564480,
26561741,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2011,125.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,Tamamı orjinal,,Sahibinden,560.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2011-model/26561741,
26560742,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,130.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,1 değişen,,Sahibinden,565.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26560742,
26559097,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,298.250 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Sahibinden,445.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26559097,
26557181,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,182.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,700.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-05-dci-stepway-2018-model/26557181,
26555572,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,146.500 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,2 boyalı,Takasa Uygun,Sahibinden,620.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26555572,
23146477,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,154.035 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,550.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-2016-dacia-sandero-1-5-dci-acil-satilik-taksi-cikmasidir/23146477,
26427021,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,72.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,747.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/bfb-den-2017-sandero-stepway-1-5dci-otomatik-72-binde-degisensiz/26427021,
26425780,27 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,165.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun,Galeriden,649.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/125-bin-pesin-kalan-36-ay-taksit-imkani-dacia-sandero/26425780,
26557787,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,157.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 değişen,Takasa Uygun,Galeriden,585.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2016-model-bolu/26557787,
26550530,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,269.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,2 boyalı,Takasa Uygun,Sahibinden,605.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/2017-cikisli-otomatik-temiz-sandero-stepway/26550530,
26546197,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,180.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,570.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26546197,
26551760,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,57.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,700.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/36ay-kredili-dacia-sandero-1-5-dci-stepway-2017-model-balikesir/26551760,
26551424,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2011,199.850 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,70 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,455.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2011-model/26551424,
26542379,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,170.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,555.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26542379,
26549947,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2013,143.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 4 boyalı",-,Sahibinden,590.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2013-model-bursa-143000/26549947,
25388683,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,138.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,602.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-model-sandero-stepway-138-000-km-hatasiz-ayarinda-degisensiz-tramersiz-sok-taksiz/25388683,
25374142,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,217.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,600.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2015-model-yozgat/25374142,
26418077,26 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,159.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,609.950 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-stepway-1-5-dci-kayitsiz-tramersiz-bakimli-masrafsiz/26418077,
26546656,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,114.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun Değil,Galeriden,645.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ilk-elden-degisensiz-stepway/26546656,
26542577,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,210.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26542577,
26536403,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,168.400 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,4 boyalı,,Sahibinden,530.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26536403,
26535872,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,49.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,790.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26535872,
26530905,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,183.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,640.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26530905,
26529753,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,145.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,,Sahibinden,525.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26529753,
26529717,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,106.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Belirtilmemiş,,Sahibinden,850.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26529717,
26529389,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,85.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,4 boyalı,Takasa Uygun,Sahibinden,665.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26529389,
26539605,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,98.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,749.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2016-dacia-sandero-senetle-taksitlendirme-secenegimiz-vardir/26539605,
26539578,25 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,94.000 km,Otomatik,Dizel,Hatchback/5,Lacivert,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,789.750 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-dacia-sandero-senetle-taksitlendirme-secenegimiz-vardir/26539578,
26536593,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,117.000 km,Otomatik,Dizel,Hatchback/5,Mavi,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/er-motor-s-dacia-sandero-1-5-dci-stepway-easy-r-hatasiz-boyasiz/26536593,
26527290,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,261.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,685.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26527290,
26409066,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,137.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,1 değişen,Takasa Uygun,Galeriden,549.500 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/165bin-tl-pesin-36ay-vade-imkaniyla-dacia-sandero-stepway/26409066,
26526494,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,150.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,"1 değişen, 1 boyalı",,Sahibinden,520.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26526494,
26531748,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,61.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,674.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/denizli-opel-bayiinden-hatasiz-sandero-1-5-dci-stepway-61-000-km/26531748,
26524006,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,192.100 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,2 boyalı,,Sahibinden,550.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2012-model/26524006,
26523848,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,147.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,"1 değişen, 2 boyalı",,Sahibinden,635.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26523848,
26523835,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,130.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,,Sahibinden,670.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2016-model/26523835,
26523363,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,126.000 km,Düz,Dizel,Hatchback/5,Lacivert,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,715.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2017-model/26523363,
26528605,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,249.000 km,Düz,Dizel,Hatchback/5,Mavi,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"1 değişen, 4 boyalı",Takasa Uygun,Galeriden,499.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/pasa-auto-dacia-sandero-stepway-kaput-tavan-boyasiz-k-k-taksit/26528605,
26517334,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,35.000 km,Düz,Dizel,Hatchback/5,Gri (metalik),1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,1 değişen,,Sahibinden,800.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model-izmir/26517334,
25339170,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2012,235.000 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,5 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,525.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/galeriden-dacia-sandero-1-5-dci-stepway-2012-model-antalya/25339170,
26398322,24 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,78.000 km,Otomatik,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,725.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/ilk-elden-2016-dacia-stepway-dizel-otomatik-78-000-km/26398322,
26416465,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,158.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,669.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/emr-group-tan-dizel-otomatik-dacia-sandero/26416465,
26517083,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2018,94.000 km,Otomatik,Dizel,Hatchback/5,Bordo,,,,İkinci El,,,Belirtilmemiş,,Sahibinden,850.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2018-model/26517083,
26516257,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2014,279.500 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,Tamamı orjinal,,Sahibinden,550.500 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2014-model/26516257,
26399969,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2017,181.000 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,529.900 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/2017-model-dacia-sandero-stepway-1-5-dci-95-hp/26399969,
18551838,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2016,290.000 km,Düz,Dizel,Hatchback/5,Gri,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,2 boyalı,Takasa Uygun Değil,Galeriden,579.000 TL,https://www.arabam.com/ilan/galeriden-satilik-dacia-sandero-1-5-dci-stepway/zedcar-dan-agir-bakimlari-yapilmis-al-gez/18551838,
26513844,23 Eylül 2024,Dacia,Sandero,1.5 dCi Stepway,2015,96.200 km,Düz,Dizel,Hatchback/5,Kırmızı,1461 cc,90 hp,Önden Çekiş,İkinci El,4 lt,50 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,670.000 TL,https://www.arabam.com/ilan/sahibinden-satilik-dacia-sandero-1-5-dci-stepway/sahibinden-dacia-sandero-1-5-dci-stepway-2015-model/26513844,
